_id,nome_campus,ano,semestre,cod_uffs,cod_emec,nome_curso,cod_ccr,nome_ccr,id_turma,desc_turma,lista_docentes_ch,matricula_turma_id,numero_faltas,freq_turma,media_final,sit_turma,data_atualizacao
08492c63-d6ca-42c6-b03e-77c2f910b014,Chapecó,2020,1,1501,1120217,AGRONOMIA,GLA001,Leitura e produção textual I,27803,Agronomia - 1ª fase (Remoto) - 2020/1	,"[{""docente"":""MARY NEIVA SURDI DA LUZ"",""ch_docente"":60}]",2f9efa2b-0a15-40af-9ad7-46b172e82139,0,100.00,6.90,APROVADO,2022-02-22
0b4ad19e-4501-405b-a945-8cac48009216,Chapecó,2020,1,1101,5000385,CIÊNCIA DA COMPUTAÇÃO,GCS010,Direitos e cidadania,27382,Ciência da Computação - 6ª fase - Noturno (Remoto) - 2020/1,"[{""docente"":""JOVILES VITORIO TREVISOL"",""ch_docente"":30}]",2e6cf5c6-a0cc-4d1f-a3b2-d3207fce118b,16,73.33,1.80,REPROVADO POR NOTA,2022-02-22
c147a490-4416-43ac-8c91-a3148a89b48e,Realeza,2019,2,3410,5000410,NUTRIÇÃO,GCB004,Bioquímica básica,25629,Nutrição (Turma A) - 2ª Fase - Integral - 2019/2,"[{""docente"":""DALILA MOTER BENVEGNU"",""ch_docente"":45}]",edecf6ea-f816-4ff4-a484-f084fda56536,,,,DESISTENTE,2022-02-22
b930a0ca-53a8-4da0-80f3-deae65d96b5d,Chapecó,2019,2,1100,5000385,CIÊNCIA DA COMPUTAÇÃO,GEX639,Tópicos especiais em computação XVII,24942,Ciência da Computação (Opt.: Tópicos Especiais em Sistemas Operacionais Embarcados ) - 8ª Fase - Matutino - 2019/2,"[{""docente"":""MARCO AURELIO SPOHN"",""ch_docente"":60}]",d44f5e38-4e83-46f6-b3a5-db536ab8f057,11,81.67,8.00,APROVADO,2022-02-22
40fdc0a4-b040-49bd-93ea-e6867d1a1979,Erechim,2019,1,5702,5000397,FILOSOFIA,GCH291,Introdução ao pensamento social,24198,Filosofia - 1ª Fase - Noturno - 2019/1,"[{""docente"":""LUIS FERNANDO SANTOS CORREA DA SILVA"",""ch_docente"":60}]",c641fc4a-feb3-434b-8440-aa852bb3d24d,,,,DESISTENTE,2022-02-22
31ab24e9-bd7a-482f-b45f-438d1f2fc86a,Erechim,2019,1,5702,5000397,FILOSOFIA,GLA102,Leitura e produção textual I,24196,Filosofia - 1ª Fase - Noturno - 2019/1,"[{""docente"":""CRISTIANO OLDONI"",""ch_docente"":30}]",ad2db000-53d5-468d-ad53-1f8f3f5bec99,,,,DESISTENTE,2022-02-22
0756f262-7ee3-413c-9b00-ae3e549ea20f,Chapecó,2020,1,1101,5000385,CIÊNCIA DA COMPUTAÇÃO,GCS238,"Meio ambiente, economia e sociedade",27932,Medicina - 2ª fase - 2020/1,"[{""docente"":""PERICLES LUIZ BRUSTOLIN"",""ch_docente"":60}]",79313a2e-b343-4c31-9ca3-51497de66921,36,40.00,0.00,REPROVADO POR NOTA E FREQUÊNCIA,2022-02-22
75614196-5562-4601-992a-6683f22573d7,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",6a4e29c0-5dc6-4c30-b5ab-e5f9b8199779,0,100.00,9.20,APROVADO,2022-02-22
33ace80f-0649-4cb3-8319-d3be8c9302c5,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",5c8c0c42-2bcd-45c1-a5da-de948a13f934,0,100.00,7.70,APROVADO,2022-02-22
e752a126-a544-44be-805b-70c655259ef2,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",dc6a6634-aa9a-430a-b9a0-5bd7d072682a,0,100.00,8.40,APROVADO,2022-02-22
6ba54271-8b08-482d-8957-a9c3727462b9,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",0ac81c46-d0d6-499e-bd4f-814008852e07,0,100.00,9.30,APROVADO,2022-02-22
5d115b9a-3756-4610-8c2c-ffd036da1ab5,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",decb345c-c8be-4dcc-b785-a7077bb3a7c4,0,100.00,9.30,APROVADO,2022-02-22
f54dfaa0-4157-4fda-8bba-92038282a699,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",5105f78b-4429-41b6-bc6f-1bf91ca5549f,0,100.00,9.00,APROVADO,2022-02-22
bed93c0c-0a1d-4670-afae-54ea57fd0341,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",e0deb346-5eba-4ce9-a08c-50c596c12241,0,100.00,9.70,APROVADO,2022-02-22
e4909df8-487a-4009-9a96-b441d724e2b8,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",39ffa467-af43-4b70-91db-d7a4b69b2ca0,0,100.00,9.60,APROVADO,2022-02-22
35900c6f-313a-4298-9aff-4446a37148f9,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",dc077c2e-0f86-4fb6-8255-252a5c2df34c,0,100.00,8.70,APROVADO,2022-02-22
1d245107-5c73-4f8e-9d33-7f5fa154a4ab,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",a846c8ee-ad21-418d-84d0-21bc83fc476a,0,100.00,9.60,APROVADO,2022-02-22
c1b76a68-8c77-4f58-8f80-6c40d680aa5d,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",9040a2da-4723-4377-a7b4-52dad601e089,0,100.00,9.70,APROVADO,2022-02-22
6b861fb3-f253-444f-a5b0-53d000ced3b9,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",7f891fe3-a130-4447-9c7a-d189d762ff22,0,100.00,9.10,APROVADO,2022-02-22
7c166049-11b4-4395-91fc-9fb5585c5a95,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",fd5377f7-59ed-40aa-b45f-7ff331b5a13b,4,86.67,9.10,APROVADO,2022-02-22
525259a3-3d64-4e63-9f3b-90ed46146a40,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",8d25c151-3fbf-466b-9b2e-8ed20e973d84,0,100.00,9.50,APROVADO,2022-02-22
f307cd36-7e9d-4e65-b162-cfda92b8299f,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",50f1941f-276f-4925-9d24-e579cc589c5d,0,100.00,9.80,APROVADO,2022-02-22
0a6b4e49-34c9-4d97-8453-759487697842,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",3cfaab45-1f79-46ba-ae41-1388d6273f4f,0,100.00,9.20,APROVADO,2022-02-22
eb971743-2345-44d7-9359-2ee0b96d714b,Cerro Largo,2020,1,4500,5000381,AGRONOMIA,GCA108,Trabalho de conclusão de curso I,26906,Agronomia - 9ª Fase - 2020/1,"[{""docente"":""NERISON LUIS POERSCH"",""ch_docente"":30}]",8777a268-a950-46fc-ad4d-6414ea0e66a2,14,53.33,1.00,REPROVADO POR NOTA E FREQUÊNCIA,2022-02-22
aec2c645-dd00-4977-8488-4524baf573dc,Chapecó,2020,1,1601,5000376,ADMINISTRAÇÃO,GCS086,Empreendimentos e modelos de negociação,28031,Administração - Noturno - 10ª fase - (Remoto) - 2020/1,"[{""docente"":""HUMBERTO TONANI TOSTA"",""ch_docente"":30}]",66c95def-1c6f-4f14-ad85-bf1c70b3886e,0,100.00,9.60,APROVADO,2022-02-22
107702b1-f0b2-4592-8615-e7ad4a7c6ccd,Erechim,2020,1,5610,5000384,ARQUITETURA E URBANISMO,GCS436,Maquete física e plástica,27570,Arquitetura e Urbanismo - 1ª Fase - (Remoto) - 2020/1,"[{""docente"":""ANA LUIZA VALADAO FREITAS GEREMIAS"",""ch_docente"":45},{""docente"":""VINICIUS CESAR CADENA LINCZUK"",""ch_docente"":45}]",daedbf77-5ead-46aa-9b4e-f246493e446c,4,91.11,6.50,APROVADO,2022-02-22
5423a422-7fab-4c01-973c-06a523a119d0,Erechim,2020,1,5610,5000384,ARQUITETURA E URBANISMO,GEX213,Matemática C,27580,Arquitetura e Urbanismo - 1ª Fase - (Remoto) - 2020/1,"[{""docente"":""DENISE KNORST DA SILVA"",""ch_docente"":60}]",2a60b02b-202f-457b-85bc-bdb528dfa6e8,4,93.33,6.50,APROVADO,2022-02-22
99a43429-908b-4ef8-8e00-b25679361deb,Erechim,2020,1,5610,5000384,ARQUITETURA E URBANISMO,GCS435,Oficina de desenho I,27568,Arquitetura e Urbanismo (Turma B) - 1ª Fase - (Remoto) - 2020/1,"[{""docente"":""ANA LUIZA VALADAO FREITAS GEREMIAS"",""ch_docente"":60},{""docente"":""ANDREIA SAUGO"",""ch_docente"":60}]",9444b7ba-c9f2-484b-805b-607a37ddca5e,0,100.00,7.60,APROVADO,2022-02-22
ea5c6d1b-86e9-4870-b601-60209ee28e17,Chapecó,2020,1,1101,5000385,CIÊNCIA DA COMPUTAÇÃO,GCH293,Introdução à filosofia,27892,Medicina - 4ª fase - 2020/1,"[{""docente"":""MAURICIO FERNANDO BOZATSKI"",""ch_docente"":60}]",7a385292-dfba-4b85-9bfd-032cb5047d21,28,53.33,0.00,REPROVADO POR NOTA E FREQUÊNCIA,2022-02-22
