_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
cd6e98ae-cd32-44b5-a42e-514074f0ea08,Chapecó,2015,1,GCB023,Bioquímica,3,45,10229,Engenharia Ambiental - 3ª Fase - Integral - 2015/1,,1301,ENGENHARIA AMBIENTAL E SANITÁRIA,3,"[{""docente"":""SERGIO LUIZ ALVES JUNIOR"",""ch_docente"":45}]",0,0,55,40,37,Encerrada,2022-02-22
cd58e4fc-8e75-4a8e-8111-3f6ef91b7545,Chapecó,2016,1,GEX002,Introdução à informática,4,60,13406,Agronomia - 1ª Fase - Integral - 2016/1,,1501,AGRONOMIA,1,"[{""docente"":""ILSON WILMAR RODRIGUES FILHO"",""ch_docente"":60}]",0,0,42,61,53,Encerrada,2022-02-22
f66697b0-8877-49f5-9cab-c95c0fffee65,Chapecó,2017,2,GCH173,Estágio curricular supervisionado II,7,105,18393,Ciências Sociais - 7ª Fase - Noturno - 2017/2,,1741,CIÊNCIAS SOCIAIS,7,"[{""docente"":""JOSE RADA NETO"",""ch_docente"":105}]",0,0,15,6,6,Encerrada,2022-02-22
6d149481-e111-4712-b5e3-7c7cc734d835,Realeza,2017,2,GLA034,Linguística aplicada ao ensino e aprendizagem da língua portuguesa,3,45,18699,Letras: Português e Espanhol - 6ª Fase - Noturno - 2017/2,,3803,LETRAS - PORTUGUÊS E ESPANHOL,6,"[{""docente"":""ANDREIA CRISTINA DE SOUZA"",""ch_docente"":45}]",0,0,35,24,23,Encerrada,2022-02-22
1472082b-6ced-4c0a-877b-b89c6a01c69c,Erechim,2019,2,GCS242,Direito ambiental,2,30,25957,Engenharia Ambiental e Sanitária - 8ª Fase - Integral - 2019/2,,5302,ENGENHARIA AMBIENTAL E SANITÁRIA,8,"[{""docente"":""CRISTIANE FUNGHETTO FUZINATTO"",""ch_docente"":30}]",0,0,50,13,10,Encerrada,2022-02-22
2013249c-eed1-43bd-8d41-296cb0731cd5,Chapecó,2015,1,GEX556,Climatologia,5,75,10000,Geografia - 2ª Fase - Noturno - 2015/1,,1711,GEOGRAFIA,2,"[{""docente"":""ANDREY LUIS BINDA"",""ch_docente"":30},{""docente"":""ANGÉLICA VUELMA"",""ch_docente"":45}]",0,0,50,20,19,Encerrada,2022-02-22
533f5f1b-eba1-4899-b051-3b75334ae0b2,Chapecó,2017,2,GCH035,Política educacional e legislação do ensino no Brasil,3,45,18396,Ciências Sociais - Filosofia - 8ª Fase - 4ª Fase - Noturno - 2017/2,,1741,CIÊNCIAS SOCIAIS,8,"[{""docente"":""DEISEMARA TURATTI LANGOSKI"",""ch_docente"":45}]",0,0,50,29,27,Encerrada,2022-02-22
0aa098da-d524-4701-81ab-4719b0332fe9,Chapecó,2016,1,GCS091,Enfoque sistêmico na agricultura,3,45,13448,Agronomia - 8ª Fase - Integral - 2016/1,,1501,AGRONOMIA,8,"[{""docente"":""ANDRE LUIZ RADUNZ"",""ch_docente"":45}]",0,0,50,50,44,Encerrada,2022-02-22
aa1addc6-87c6-4de8-8b9c-55ef68780a12,Chapecó,2017,2,GCH366,História indígena,4,60,19085,História - 2ª Fase - Noturno - 2017/2,,1721,HISTÓRIA,2,"[{""docente"":""JAISSON TEIXEIRA LINO"",""ch_docente"":60}]",0,0,52,52,50,Encerrada,2022-02-22
58d9ddc5-6b0f-4d9e-980f-fc1d9d903fc0,Erechim,2017,2,GCA412,Tópico especial I,4,60,17962,Interdisciplinar em Educação do Campo: Ciências da Natureza (Pronacampo) - 6ª e 8ª Fases - Integral - 2017/2,,5510,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,6,"[{""docente"":""SINARA MUNCHEN"",""ch_docente"":60}]",0,0,60,37,37,Encerrada,2022-02-22
