_id,nome_campus,cod_uffs,cod_emec,nome_curso,turno,modalidade,regime,desc_matriz,ano,semestre,permite_ingresso,em_andamento,ch_obrigatoria,ch_optativa,ch_eletiva,ch_accs,ch_total,ch_max_sem,ch_min_sem,ch_1a_fase,quant_semestres,limite_semestres,linha_formacao,data_atualizacao
2e7bade2-b9d5-4f4d-a176-69d914cef35f,Chapecó,1110,1260434,MATEMÁTICA,NOTURNO,Graduação - Licenciatura,Semestral,64-MATEMÁTICA - CHAPECÓ - 2014,2014,1,Não,Sim,2805,120,0,210,3135,450,0,300,9,18,,2022-02-22
b2964114-96d0-4334-b84c-c7d2044000d3,Chapecó,1110,1260434,MATEMÁTICA,NOTURNO,Graduação - Licenciatura,Semestral,112-MATEMÁTICA - CHAPECÓ - 2021,2021,1,Sim,Sim,2835,120,60,210,3225,600,0,0,9,18,,2022-02-22
7ef7589a-2f20-451e-b7e9-b0f488f1bfcc,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Graduação - Licenciatura,Semestral,9-FILOSOFIA - CHAPECÓ - 2010/2,2010,1,Não,Sim,2685,180,0,210,3075,600,0,300,9,18,,2022-02-22
b1a2076a-7702-4ce5-ab7d-659c25ea948d,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Graduação - Licenciatura,Semestral,85-FILOSOFIA - CHAPECÓ - 2018,2018,1,Sim,Sim,2805,420,0,210,3435,600,0,0,9,18,,2022-02-22
b344cd5a-0063-4f2f-ab11-4286ca6618e4,Erechim,5610,5000384,ARQUITETURA E URBANISMO,INTEGRAL,Graduação - Bacharelado,Semestral,72-ARQUITETURA E URBANISMO - ERECHIM - 2016,2016,1,Sim,Sim,3360,180,0,210,3750,675,0,0,10,20,,2022-02-22
04698e7f-1af9-4450-9c86-eb22512ac54a,Erechim,5610,5000384,ARQUITETURA E URBANISMO,INTEGRAL,Graduação - Bacharelado,Semestral,37-ARQUITETURA E URBANISMO - ERECHIM - 2010,2010,1,Não,Sim,3405,405,0,210,4020,600,0,390,10,20,,2022-02-22
daf898c0-4867-4ddc-871f-2736c24591b8,Chapecó,1730,5000402,PEDAGOGIA,MATUTINO,Graduação - Licenciatura,Semestral,90-PEDAGOGIA - CHAPECÓ - 2018/1,2018,1,Sim,Sim,3045,180,0,210,3435,525,0,0,10,20,,2022-02-22
7778525d-0771-4fde-b56f-3fe00d5f5818,Chapecó,1730,5000402,PEDAGOGIA,MATUTINO,Graduação - Licenciatura,Semestral,14-PEDAGOGIA - CHAPECÓ - 2010/1,2010,1,Não,Sim,3045,120,0,210,3375,525,0,345,9,18,,2022-02-22
643552c4-32b0-475f-bf53-9fc8ef968b4e,Chapecó,1801,5000404,LETRAS - PORTUGUÊS E ESPANHOL,NOTURNO,Graduação - Licenciatura,Semestral,19-LETRAS - PORTUGUÊS E ESPANHOL - CHAPECÓ - 2010/2,2010,2,Não,Sim,3585,60,0,210,3855,540,0,360,10,20,,2022-02-22
8541dd71-fd92-4e1f-bf03-fb75f50490c6,Chapecó,1801,5000404,LETRAS - PORTUGUÊS E ESPANHOL,NOTURNO,Graduação - Licenciatura,Semestral,108-LETRAS - PORTUGUÊS E ESPANHOL - CHAPECÓ - 2020,2020,1,Sim,Sim,3360,210,0,210,3780,480,0,0,10,20,,2022-02-22
c32babab-6427-4c51-bb93-4dcdf67251ce,Erechim,5510,1276258,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,INTEGRAL,Graduação - Licenciatura,Semestral,98-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA - ERECHIM - 2019,2019,1,Sim,Sim,3150,240,0,210,3600,600,0,0,8,16,,2022-02-22
