_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
8db6e6d2-139b-4e17-9eac-a211c7d59945,GCH1353,Metodologias e técnicas de pesquisa,2,30,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,5,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
c38f1e5c-9b48-412b-925f-8a66b89f023f,GCH1354,Estágio curricular supervisionado II,5,75,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,5,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
9f4baafe-16d8-45cc-99f3-fc735d61ae70,GCH1355,Políticas educacionais e legislação da educação do campo e indígena,2,30,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,5,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
73f73079-61a0-47af-b131-7d47e74fa79d,GCH1356,Filosofia IV,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,6,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
e0394aae-c82f-4856-bc03-b383304a8852,GCH1357,Geografia IV,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,6,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
d884a6b1-f377-49c1-a44d-0a4e2030b600,GCH1358,História IV,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,6,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
e7265115-52bd-43d6-99fe-24e2d12cb2e8,GCH1359,Sociologia IV,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,6,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
2c551a11-c9c3-4cd4-9fdb-0f2f55551b08,GCH136,Trabalho de conclusão de curso I,2,30,9-FILOSOFIA - CHAPECÓ - 2010/2,7,Sim,Não,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
5c15c04a-55ec-4b3d-a513-189988422558,GCH136,Trabalho de conclusão de curso I,2,30,8-FILOSOFIA - CHAPECÓ - 2010/1,6,Sim,Não,Chapecó,1700,5000396,FILOSOFIA,MATUTINO,Não,Sim,2022-02-22
234a6017-dec1-4380-a503-d57e47e9ae5b,GCH136,Trabalho de conclusão de curso I,2,30,38-FILOSOFIA - ERECHIM - 2010,7,Sim,Não,Erechim,5702,5000397,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
1c3cbfe6-e05f-498f-ac08-33cfcc24575f,GCH1360,Trabalho de conclusão de curso I,2,30,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,6,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
a7d1b434-8272-4d23-9fe7-59f48503bf03,GCH1361,Estágio curricular supervisionado III,6,90,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,6,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
69c340ef-cda6-48d1-9075-22893f37003b,GCH1362,Biologia educacional,2,30,81-PEDAGOGIA - LARANJEIRAS DO SUL - 2018,0,Não,Sim,Laranjeiras do Sul,2703,1419770,PEDAGOGIA,NOTURNO,Não,Sim,2022-02-22
f9111eeb-244e-4ab8-bee8-0785a332c53c,GCH1362,Biologia educacional,2,30,116-PEDAGOGIA - LARANJEIRAS DO SUL - 2021,0,Não,Sim,Laranjeiras do Sul,2703,1419770,PEDAGOGIA,NOTURNO,Sim,Sim,2022-02-22
3f9e1c2a-4bf1-44a8-bb77-33e960e11f05,GCH1363,Currículo e avaliação da educação básica,3,45,81-PEDAGOGIA - LARANJEIRAS DO SUL - 2018,0,Não,Sim,Laranjeiras do Sul,2703,1419770,PEDAGOGIA,NOTURNO,Não,Sim,2022-02-22
1919b39c-5be3-4f1b-afb4-5e1f0e50fcf9,GCH1364,Filosofia V,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,7,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
c261e721-7ff5-43dd-9f76-001f1db214ec,GCH1365,Geografia V,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,7,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
608352cd-4f10-4a88-9629-99d63620b373,GCH1366,História V,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,7,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
f4cf9943-effd-4ea7-b281-9fdb6edbb11b,GCH1367,Sociologia V,4,60,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,7,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
2b3b0741-eed6-4fdc-a529-607aa5ee6351,GCH1368,Trabalho de conclusão de curso II,2,30,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,7,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
bc33a1c2-a33e-460c-ba38-25aba42b6881,GCH1369,Estágio curricular supervisionado IV,6,90,110-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS - LARANJEIRAS DO SUL - 2021,7,Sim,Não,Laranjeiras do Sul,2550,1279327,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS SOCIAIS E HUMANAS,INTEGRAL,Sim,Sim,2022-02-22
e6f22a32-af3b-499d-8ccd-02dbc5416c6a,GCH137,Trabalho de conclusão de curso II,2,30,38-FILOSOFIA - ERECHIM - 2010,8,Sim,Não,Erechim,5702,5000397,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
6d6f6dba-8da7-4373-8040-193be479fdc2,GCH137,Trabalho de conclusão de curso II,2,30,9-FILOSOFIA - CHAPECÓ - 2010/2,8,Sim,Não,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Não,Sim,2022-02-22
